Date,Country,Latitude,Longitude,Type of Incident,Description,Media Report Link
11-Mar-24,Australia,-16.982,145.6884,Drowned,"Signs marking a Cairns waterfall as a no-swim zone are under scrutiny after a 20-year-old tourist tragically drowned.

The young Japanese tourist was understood to have jumped from the ledge at Crystal Cascades waterfall, a secluded and picturesque swimming spot west of Cairns.",https://www.news.com.au/travel/travel-updates/incidents/calls-for-change-after-tourist-dies-at-popular-cairns-tourist-spot/news-story/6b0fd2e9ca9ac37ff20e9ef5e6c5ad2c
15/4/2024,Australia,,,Fall,"A 41 y/o man has died after falling off a rock ledge at a popular tourist spot on NSW's South Coast near Kiama
Emergency crews were called to _Darien Avenue at Bombo Headland, approximately three kilometres north of Kiama about 3.30pm yesterday.",https://www.9news.com.au/national/body-pulled-from-water-on-nsw-south-coast/4bf170be-acd0-495c-8bdc-6a0871ca2d65
17-Apr-24,United Kingdom,56.73917,-3.79944,Drowned,"Two male students aged 22 and 26 were taking selfies near Blair Atholl, Scotland, but slipped and were swept away by the river at Linn of Tummel.",https://www.theguardian.com/uk-news/2024/apr/19/two-students-drown-highlands-waterfall-dundee
7-Aug-24,Indonesia,-8.32361,115.1575,Fall,A couple fell more than 80 feet when taking a selfie near a waterfall in Bali. The man died and the woman survived.,https://www.yahoo.com/news/tourist-dies-while-taking-selfie-175258846.html
18/8/2024,Australia,-16.982,145.6884,Fall,"A man has suffered life threatening head injuries after he plummeted from a ledge at a notorious waterfall and swimming hole popular with visitors.

Emergency services rushed to Crystal Cascades, near Cairns in far north Queensland to rescue a man who slipped fell three metres down an embankment on Sunday afternoon.

The state's fire department conducted led a delicate rescue operation to retrieve the critically injured man who was rushed to Cairns Hospital.","https://www.dailymail.co.uk/news/article-13754611/Cairns-crystal-cascades-man-falls-critical-injuries.html#:~:text=An%2018%2Dyear%2Dold%20man,of%20the%20dangers%20they%20face."
5-Sep-24,India,18.755,73.58,Drowned,"Two friends, a 22-year-old man and a 17-year-old girl, drowned in the Indrayani River near Maval temple after slipping from a rock while taking selfies.",https://www.hindustantimes.com/cities/pune-news/two-friends-drown-in-pune-s-indrayani-river-while-clicking-selfie-101725561009431.html
5-Apr-25,Indonesia,-8.5414,115.5103,Fall,"Swept off rocks by wave while taking selfies. Injuries (head, thigh, knee); rescued by lifeguards, hospitalised",https://www.news.com.au/travel/travel-updates/incidents/tourist-hospitalised-after-being-swept-off-rocks-while-taking-selfies/news-story/39b3a41e9f15b6406aa6f7043ac0101c
20-Apr-25,Indonesia,-8.72556,115.4525,Fall,"The near-miss incident with travel vlogger Katy Johnson happened at AngelÕs Billabong, a natural infinity pool on Nusa Penida island, Bali, Indonesia.",https://www.hindustantimes.com/trending/woman-nearly-swept-away-by-rogue-wave-while-filming-selfie-video-in-bali-i-almost-died-101749017954279.html
31-May-25,India,19.09889,72.82667,Drowned,"The Mumbai case happened at Juhu Jetty, on the cityÕs western coastline.
The victim, Anil Arjun Rajput (20), fell into the sea while taking photos with friends on 31 May 2025.",https://odishatv.in/news/national/man-taking-pictures-with-friends-falls-into-sea-in-mumbai-dies-264598
27-Jun-25,india,25.63778,90.17306,Drowned,"The Meghalaya case happened at Rongkuchi Falls, in West Garo Hills district, not far from Tura.
Victim: Amzad Ali (20) from Nepalgaon village, Assam, who slipped while taking a selfie and was swept into the current.",https://nenow.in/north-east-news/assam/meghalaya-assam-teen-dies-after-selfie-attempt-at-waterfall.html#google_vignette
15-Jul-25,Italy,46.01333,11.95056,Crushed,"The Italy case occurred at Cesana Beach on the Piave River, near Feltre (Veneto region).
Victim: a 15-year-old girl, crushed by a falling boulder while taking selfies with friends.",https://petapixel.com/2025/07/17/teenage-girl-crushed-to-death-by-boulder-while-taking-selfie-in-italy/
27-Jul-25,India,21.82278,77.86889,Drowned,"The Madhya Pradesh case happened at Kanhaiya Kol Waterfall, in Betul district.
Victim: Piyush Parihar (16), who drowned after slipping while taking a selfie during a picnic with friends.",https://www.freepressjournal.in/bhopal/mp-shocker-teen-drowns-in-waterfall-while-taking-selfie-during-picnic-in-betul
8-Aug-25,Greece,36.74361,24.47167,Drowned,"This tragic case happened at Sarakiniko Beach, on Milos Island in the Cyclades, Greece.
Victims: a married couple from Vietnam. The woman is believed to have fallen into the sea while attempting a selfie during very strong winds; her husband entered the water to rescue her, and both drowned.",https://people.com/couple-dies-after-getting-swept-out-to-sea-amid-strong-winds-at-tourist-spot-11787501
